Binomial,Family,Mass.g
Acinonyx_jubatus,Felidae,46700
Atelocynus_microtis,Canidae,7750
Canis_adustus,Canidae,10249.9
Canis_aureus,Canidae,10345.2
Canis_dirus,Canidae,64000
Canis_latrans,Canidae,13406.3
Canis_lupus,Canidae,32183.3
Canis_mesomelas,Canidae,8500
Canis_rufus,Canidae,22983.2
Canis_simensis,Canidae,10000
Caracal_aurata,Felidae,10650
Caracal_caracal,Felidae,13749.9
Catopuma_badia,Felidae,2500
Catopuma_temminckii,Felidae,11500
Cerdocyon_thous,Canidae,5240
Chrysocyon_brachyurus,Canidae,23249.8
Cuon_alpinus,Canidae,12760
Cynotherium_sardous,Canidae,11071.4
Dusicyon_australis,Canidae,50003.5
Dusicyon_avus,Canidae,13000
Felis_bieti,Felidae,7750
Felis_chaus,Felidae,7393
Felis_margarita,Felidae,2525
Felis_nigripes,Felidae,1300
Felis_silvestris,Felidae,5500
Herpailurus_yagouaroundi,Felidae,7874.9
Homotherium_latidens,Felidae,189000
Homotherium_serum,Felidae,189000
Leopardus_amnicola,Felidae,5000
Leopardus_colocolo,Felidae,3935
Leopardus_geoffroyi,Felidae,3590
Leopardus_guigna,Felidae,2230
Leopardus_guttulus,Felidae,2674.2
Leopardus_jacobita,Felidae,9170
Leopardus_pardalis,Felidae,11900.1
Leopardus_tigrinus,Felidae,2250
Leopardus_wiedii,Felidae,3250
Leptailurus_serval,Felidae,12000
Lycalopex_culpaeus,Canidae,9832.4
Lycalopex_fulvipes,Canidae,2837.5
Lycalopex_griseus,Canidae,8280
Lycalopex_gymnocercus,Canidae,4690
Lycalopex_sechurae,Canidae,4000
Lycalopex_vetulus,Canidae,5350
Lycaon_pictus,Canidae,22050.1
Lynx_canadensis,Felidae,9373.2
Lynx_lynx,Felidae,17950
Lynx_pardinus,Felidae,9400
Lynx_rufus,Felidae,8904.1
Miracinonyx_trumani,Felidae,88000
Neofelis_diardi,Felidae,20500
Neofelis_nebulosa,Felidae,20500
Nyctereutes_procyonoides,Canidae,4040
Otocolobus_manul,Felidae,3500
Otocyon_megalotis,Canidae,4150
Panthera_atrox,Felidae,212000
Panthera_leo,Felidae,161499.1
Panthera_onca,Felidae,100000
Panthera_pardus,Felidae,54999.7
Panthera_spelaea,Felidae,380189.4
Panthera_tigris,Felidae,162564
Panthera_uncia,Felidae,44167
Pardofelis_marmorata,Felidae,2854.3
Prionailurus_bengalensis,Felidae,3300
Prionailurus_planiceps,Felidae,6750
Prionailurus_rubiginosus,Felidae,1384.4
Prionailurus_viverrinus,Felidae,9140.3
Protocyon_troglodytes,Canidae,16000
Puma_concolor,Felidae,51600
Smilodon_fatalis,Felidae,219000
Smilodon_populator,Felidae,294500
Speothos_venaticus,Canidae,6000
Theriodictis_tarijensis,Canidae,27000
Urocyon_cinereoargenteus,Canidae,3833.7
Urocyon_littoralis,Canidae,1896
Vulpes_bengalensis,Canidae,2726
Vulpes_cana,Canidae,936.9
Vulpes_chama,Canidae,2955
Vulpes_corsac,Canidae,2400
Vulpes_ferrilata,Canidae,5000
Vulpes_lagopus,Canidae,4867.7
Vulpes_macrotis,Canidae,2050
Vulpes_pallida,Canidae,2800
Vulpes_rueppellii,Canidae,2865
Vulpes_velox,Canidae,2197.5
Vulpes_vulpes,Canidae,5318.2
Vulpes_zerda,Canidae,1100
